"","year","state","property_type","n"
"1","2018","ACT","house",1144
"2","2018","ACT","townhouse",218
"3","2018","ACT","unit",358
"4","2018","NSW","house",7881
"5","2018","NSW","townhouse",964
"6","2018","NSW","unit",4240
"7","2018","QLD","house",3843
"8","2018","QLD","townhouse",610
"9","2018","QLD","unit",1152
"10","2018","SA","house",4643
"11","2018","SA","townhouse",182
"12","2018","SA","unit",631
"13","2018","VIC","house",13276
"14","2018","VIC","townhouse",1713
"15","2018","VIC","unit",4593
"16","2018","WA","house",4455
"17","2018","WA","townhouse",188
"18","2018","WA","unit",520
"19","2019","ACT","house",3638
"20","2019","ACT","townhouse",755
"21","2019","ACT","unit",1211
"22","2019","NSW","house",26472
"23","2019","NSW","townhouse",3631
"24","2019","NSW","unit",15058
"25","2019","QLD","house",11583
"26","2019","QLD","townhouse",1838
"27","2019","QLD","unit",3590
"28","2019","SA","house",13502
"29","2019","SA","townhouse",590
"30","2019","SA","unit",2151
"31","2019","VIC","house",43131
"32","2019","VIC","townhouse",6342
"33","2019","VIC","unit",14536
"34","2019","WA","house",14632
"35","2019","WA","townhouse",730
"36","2019","WA","unit",1851
"37","2020","ACT","house",3036
"38","2020","ACT","townhouse",789
"39","2020","ACT","unit",1363
"40","2020","NSW","house",26876
"41","2020","NSW","townhouse",3980
"42","2020","NSW","unit",15490
"43","2020","QLD","house",11313
"44","2020","QLD","townhouse",2015
"45","2020","QLD","unit",3912
"46","2020","SA","house",12792
"47","2020","SA","townhouse",615
"48","2020","SA","unit",1894
"49","2020","VIC","house",35434
"50","2020","VIC","townhouse",5581
"51","2020","VIC","unit",12000
"52","2020","WA","house",16645
"53","2020","WA","townhouse",792
"54","2020","WA","unit",2084
"55","2021","ACT","house",706
"56","2021","ACT","townhouse",201
"57","2021","ACT","unit",416
"58","2021","NSW","house",7480
"59","2021","NSW","townhouse",1295
"60","2021","NSW","unit",4990
"61","2021","QLD","house",3323
"62","2021","QLD","townhouse",719
"63","2021","QLD","unit",1536
"64","2021","SA","house",3490
"65","2021","SA","townhouse",215
"66","2021","SA","unit",623
"67","2021","VIC","house",12333
"68","2021","VIC","townhouse",2381
"69","2021","VIC","unit",4377
"70","2021","WA","house",5288
"71","2021","WA","townhouse",237
"72","2021","WA","unit",745
