SUBURB,suburb,count
ABBOTSFORD,Abbotsford,443
ABERFELDIE,Aberfeldie,114
AINTREE,Aintree,209
AIRPORT WEST,Airport West,361
ALBANVALE,Albanvale,137
ALBERT PARK,Albert Park,258
ALBION,Albion,195
ALPHINGTON,Alphington,173
ALTONA,Altona,575
ALTONA MEADOWS,Altona Meadows,484
ALTONA NORTH,Altona North,561
ARDEER,Ardeer,124
ARMADALE,Armadale,448
ARTHURS CREEK,Arthurs Creek,7
ARTHURS SEAT,Arthurs Seat,23
ASCOT VALE,Ascot Vale,573
ASHBURTON,Ashburton,257
ASHWOOD,Ashwood,241
ASPENDALE,Aspendale,288
ASPENDALE GARDENS,Aspendale Gardens,110
ATTWOOD,Attwood,67
AVONDALE HEIGHTS,Avondale Heights,335
AVONSLEIGH,Avonsleigh,35
BADGER CREEK,Badger Creek,34
BALACLAVA,Balaclava,176
BALNARRING,Balnarring,92
BALNARRING BEACH,Balnarring Beach,31
BALWYN,Balwyn,525
BALWYN NORTH,Balwyn North,710
BANGHOLME,Bangholme,5
BAXTER,Baxter,86
BAYLES,Bayles,4
BAYSWATER,Bayswater,515
BAYSWATER NORTH,Bayswater North,374
BEACONSFIELD,Beaconsfield,283
BEACONSFIELD UPPER,Beaconsfield Upper,64
BEAUMARIS,Beaumaris,549
BELGRAVE,Belgrave,166
BELGRAVE HEIGHTS,Belgrave Heights,43
BELGRAVE SOUTH,Belgrave South,37
BELLFIELD,Bellfield,68
BEND OF ISLANDS,Bend Of Islands,10
BENTLEIGH,Bentleigh,783
BENTLEIGH EAST,Bentleigh East,1145
BERWICK,Berwick,1797
BIG PATS CREEK,Big Pats Creek,6
BITTERN,Bittern,170
BLACK ROCK,Black Rock,268
BLACKBURN,Blackburn,568
BLACKBURN NORTH,Blackburn North,263
BLACKBURN SOUTH,Blackburn South,309
BLAIRGOWRIE,Blairgowrie,340
BLIND BIGHT,Blind Bight,48
BONBEACH,Bonbeach,384
BONNIE BROOK,Bonnie Brook,1
BORONIA,Boronia,1024
BOTANIC RIDGE,Botanic Ridge,281
BOX HILL,Box Hill,487
BOX HILL NORTH,Box Hill North,437
BOX HILL SOUTH,Box Hill South,336
BRAYBROOK,Braybrook,278
BRIAR HILL,Briar Hill,128
BRIGHTON,Brighton,1026
BRIGHTON EAST,Brighton East,602
BROADMEADOWS,Broadmeadows,351
BROOKFIELD,Brookfield,368
BROOKLYN,Brooklyn,131
BRUNSWICK,Brunswick,1049
BRUNSWICK EAST,Brunswick East,594
BRUNSWICK WEST,Brunswick West,564
BULLA,Bulla,11
BULLEEN,Bulleen,393
BUNDOORA,Bundoora,817
BUNYIP,Bunyip,92
BURNLEY,Burnley,4
BURNSIDE,Burnside,100
BURNSIDE HEIGHTS,Burnside Heights,138
BURWOOD,Burwood,499
BURWOOD EAST,Burwood East,281
CAIRNLEA,Cairnlea,162
CALDERMEADE,Caldermeade,1
CAMBERWELL,Camberwell,686
CAMPBELLFIELD,Campbellfield,80
CANNONS CREEK,Cannons Creek,25
CANTERBURY,Canterbury,269
CAPE SCHANCK,Cape Schanck,39
CAPEL SOUND,Capel Sound,307
CARDINIA,Cardinia,6
CARLTON,Carlton,514
CARLTON NORTH,Carlton North,228
CARNEGIE,Carnegie,726
CAROLINE SPRINGS,Caroline Springs,723
CARRUM,Carrum,252
CARRUM DOWNS,Carrum Downs,1021
CATANI,Catani,3
CAULFIELD,Caulfield,195
CAULFIELD EAST,Caulfield East,53
CAULFIELD NORTH,Caulfield North,498
CAULFIELD SOUTH,Caulfield South,393
CHADSTONE,Chadstone,346
CHELSEA,Chelsea,475
CHELSEA HEIGHTS,Chelsea Heights,172
CHELTENHAM,Cheltenham,953
CHIRNSIDE PARK,Chirnside Park,423
CHRISTMAS HILLS,Christmas Hills,6
CHUM CREEK,Chum Creek,19
CLARINDA,Clarinda,165
CLAYTON,Clayton,523
CLAYTON SOUTH,Clayton South,380
CLEMATIS,Clematis,16
CLIFTON HILL,Clifton Hill,216
CLYDE,Clyde,442
CLYDE NORTH,Clyde North,1097
COBBLEBANK,Cobblebank,85
COBURG,Coburg,899
COBURG NORTH,Coburg North,300
COCKATOO,Cockatoo,176
COLDSTREAM,Coldstream,65
COLLINGWOOD,Collingwood,439
COOLAROO,Coolaroo,62
CORA LYNN,Cora Lynn,3
COTTLES BRIDGE,Cottles Bridge,9
CRAIGIEBURN,Craigieburn,2202
CRANBOURNE,Cranbourne,817
CRANBOURNE EAST,Cranbourne East,726
CRANBOURNE NORTH,Cranbourne North,867
CRANBOURNE SOUTH,Cranbourne South,43
CRANBOURNE WEST,Cranbourne West,758
CREMORNE,Cremorne,15
CRIB POINT,Crib Point,171
CROYDON,Croydon,1341
CROYDON HILLS,Croydon Hills,133
CROYDON NORTH,Croydon North,323
CROYDON SOUTH,Croydon South,193
DALLAS,Dallas,164
DALMORE,Dalmore,1
DANDENONG,Dandenong,902
DANDENONG NORTH,Dandenong North,557
DEANSIDE,Deanside,42
DEEPDENE,Deepdene,43
DEER PARK,Deer Park,558
DELAHEY,Delahey,195
DERRIMUT,Derrimut,195
DEVON MEADOWS,Devon Meadows,22
DEWHURST,Dewhurst,2
DIAMOND CREEK,Diamond Creek,426
DIGGERS REST,Diggers Rest,178
DINGLEY VILLAGE,Dingley Village,263
DIXONS CREEK,Dixons Creek,4
DOCKLANDS,Docklands,849
DON VALLEY,Don Valley,13
DONCASTER,Doncaster,992
DONCASTER EAST,Doncaster East,1017
DONNYBROOK,Donnybrook,72
DONVALE,Donvale,433
DOREEN,Doreen,1137
DOVETON,Doveton,384
DROMANA,Dromana,399
EAGLEMONT,Eaglemont,131
EAST MELBOURNE,East Melbourne,243
EAST WARBURTON,East Warburton,48
EDEN PARK,Eden Park,25
EDITHVALE,Edithvale,340
ELSTERNWICK,Elsternwick,418
ELTHAM,Eltham,647
ELTHAM NORTH,Eltham North,193
ELWOOD,Elwood,875
EMERALD,Emerald,221
ENDEAVOUR HILLS,Endeavour Hills,662
EPPING,Epping,944
ESSENDON,Essendon,846
ESSENDON NORTH,Essendon North,131
ESSENDON WEST,Essendon West,51
EUMEMMERRING,Eumemmerring,95
EYNESBURY,Eynesbury,134
FAIRFIELD,Fairfield,251
FAWKNER,Fawkner,427
FERNTREE GULLY,Ferntree Gully,922
FERNY CREEK,Ferny Creek,64
FINGAL,Fingal,68
FITZROY,Fitzroy,414
FITZROY NORTH,Fitzroy North,386
FLEMINGTON,Flemington,268
FLINDERS,Flinders,84
FOOTSCRAY,Footscray,719
FOREST HILL,Forest Hill,339
FRANKSTON,Frankston,1977
FRANKSTON NORTH,Frankston North,260
FRANKSTON SOUTH,Frankston South,808
FRASER RISE,Fraser Rise,287
GARDENVALE,Gardenvale,32
GARFIELD,Garfield,68
GARFIELD NORTH,Garfield North,2
GEMBROOK,Gembrook,92
GILDEROY,Gilderoy,2
GLADSTONE PARK,Gladstone Park,212
GLADYSDALE,Gladysdale,5
GLEN HUNTLY,Glen Huntly,206
GLEN IRIS,Glen Iris,955
GLEN WAVERLEY,Glen Waverley,1271
GLENROY,Glenroy,925
GOWANBRAE,Gowanbrae,77
GREENSBOROUGH,Greensborough,793
