"","Month_Yr","SUBURB","n"
"1","2018-09","ABBOTSFORD",6
"2","2018-09","ABERFELDIE",2
"3","2018-09","AINTREE",1
"4","2018-09","AIRPORT WEST",8
"5","2018-09","ALBANVALE",5
"6","2018-09","ALBERT PARK",5
"7","2018-09","ALBION",4
"8","2018-09","ALPHINGTON",3
"9","2018-09","ALTONA",10
"10","2018-09","ALTONA MEADOWS",9
"11","2018-09","ALTONA NORTH",11
"12","2018-09","ARDEER",1
"13","2018-09","ARMADALE",7
"14","2018-09","ASCOT VALE",14
"15","2018-09","ASHBURTON",9
"16","2018-09","ASHWOOD",4
"17","2018-09","ASPENDALE",8
"18","2018-09","ATTWOOD",1
"19","2018-09","AVONDALE HEIGHTS",6
"20","2018-09","AVONSLEIGH",1
"21","2018-09","BALACLAVA",7
"22","2018-09","BALNARRING",2
"23","2018-09","BALNARRING BEACH",1
"24","2018-09","BALWYN",21
"25","2018-09","BALWYN NORTH",22
"26","2018-09","BAYLES",1
"27","2018-09","BAYSWATER",25
"28","2018-09","BAYSWATER NORTH",9
"29","2018-09","BEACONSFIELD",10
"30","2018-09","BEACONSFIELD UPPER",2
"31","2018-09","BEAUMARIS",17
"32","2018-09","BELGRAVE",6
"33","2018-09","BENTLEIGH",28
"34","2018-09","BENTLEIGH EAST",33
"35","2018-09","BERWICK",41
"36","2018-09","BIG PATS CREEK",1
"37","2018-09","BITTERN",5
"38","2018-09","BLACK ROCK",9
"39","2018-09","BLACKBURN",19
"40","2018-09","BLACKBURN NORTH",14
"41","2018-09","BLACKBURN SOUTH",11
"42","2018-09","BLAIRGOWRIE",5
"43","2018-09","BLIND BIGHT",1
"44","2018-09","BONBEACH",8
"45","2018-09","BORONIA",25
"46","2018-09","BOTANIC RIDGE",7
"47","2018-09","BOX HILL",9
"48","2018-09","BOX HILL NORTH",10
"49","2018-09","BOX HILL SOUTH",11
"50","2018-09","BRAYBROOK",6
"51","2018-09","BRIAR HILL",1
"52","2018-09","BRIGHTON",28
"53","2018-09","BRIGHTON EAST",19
"54","2018-09","BROADMEADOWS",12
"55","2018-09","BROOKFIELD",13
"56","2018-09","BROOKLYN",4
"57","2018-09","BRUNSWICK",25
"58","2018-09","BRUNSWICK EAST",13
"59","2018-09","BRUNSWICK WEST",15
"60","2018-09","BULLEEN",8
"61","2018-09","BUNDOORA",22
"62","2018-09","BUNYIP",2
"63","2018-09","BURNSIDE",3
"64","2018-09","BURNSIDE HEIGHTS",8
"65","2018-09","BURWOOD",12
"66","2018-09","BURWOOD EAST",8
"67","2018-09","CAIRNLEA",1
"68","2018-09","CAMBERWELL",17
"69","2018-09","CAMPBELLFIELD",1
"70","2018-09","CANNONS CREEK",1
"71","2018-09","CANTERBURY",6
"72","2018-09","CAPE SCHANCK",1
"73","2018-09","CAPEL SOUND",9
"74","2018-09","CARLTON",19
"75","2018-09","CARLTON NORTH",5
"76","2018-09","CARNEGIE",18
"77","2018-09","CAROLINE SPRINGS",26
"78","2018-09","CARRUM",6
"79","2018-09","CARRUM DOWNS",31
"80","2018-09","CAULFIELD",5
