"","year","SUBURB","n"
"1","2018","ABBOTSFORD",45
"2","2018","ABERFELDIE",15
"3","2018","AINTREE",6
"4","2018","AIRPORT WEST",45
"5","2018","ALBANVALE",16
"6","2018","ALBERT PARK",21
"7","2018","ALBION",30
"8","2018","ALPHINGTON",21
"9","2018","ALTONA",57
"10","2018","ALTONA MEADOWS",51
"11","2018","ALTONA NORTH",45
"12","2018","ARDEER",17
"13","2018","ARMADALE",47
"14","2018","ARTHURS SEAT",4
"15","2018","ASCOT VALE",54
"16","2018","ASHBURTON",33
"17","2018","ASHWOOD",23
"18","2018","ASPENDALE",30
"19","2018","ASPENDALE GARDENS",15
"20","2018","ATTWOOD",4
"21","2018","AVONDALE HEIGHTS",37
"22","2018","AVONSLEIGH",5
"23","2018","BADGER CREEK",2
"24","2018","BALACLAVA",26
"25","2018","BALNARRING",9
"26","2018","BALNARRING BEACH",2
"27","2018","BALWYN",70
"28","2018","BALWYN NORTH",87
"29","2018","BANGHOLME",1
"30","2018","BAXTER",7
"31","2018","BAYLES",2
"32","2018","BAYSWATER",64
"33","2018","BAYSWATER NORTH",40
"34","2018","BEACONSFIELD",40
"35","2018","BEACONSFIELD UPPER",6
"36","2018","BEAUMARIS",60
"37","2018","BELGRAVE",20
"38","2018","BELGRAVE HEIGHTS",5
"39","2018","BELGRAVE SOUTH",2
"40","2018","BELLFIELD",2
"41","2018","BEND OF ISLANDS",1
"42","2018","BENTLEIGH",85
"43","2018","BENTLEIGH EAST",142
"44","2018","BERWICK",187
"45","2018","BIG PATS CREEK",1
"46","2018","BITTERN",16
"47","2018","BLACK ROCK",24
"48","2018","BLACKBURN",61
"49","2018","BLACKBURN NORTH",35
"50","2018","BLACKBURN SOUTH",39
"51","2018","BLAIRGOWRIE",26
"52","2018","BLIND BIGHT",8
"53","2018","BONBEACH",37
"54","2018","BORONIA",122
"55","2018","BOTANIC RIDGE",30
"56","2018","BOX HILL",56
"57","2018","BOX HILL NORTH",48
"58","2018","BOX HILL SOUTH",33
"59","2018","BRAYBROOK",26
"60","2018","BRIAR HILL",10
"61","2018","BRIGHTON",123
"62","2018","BRIGHTON EAST",52
"63","2018","BROADMEADOWS",45
"64","2018","BROOKFIELD",40
"65","2018","BROOKLYN",16
"66","2018","BRUNSWICK",140
"67","2018","BRUNSWICK EAST",70
"68","2018","BRUNSWICK WEST",68
"69","2018","BULLA",4
"70","2018","BULLEEN",32
"71","2018","BUNDOORA",97
"72","2018","BUNYIP",6
"73","2018","BURNSIDE",9
"74","2018","BURNSIDE HEIGHTS",18
"75","2018","BURWOOD",48
"76","2018","BURWOOD EAST",27
"77","2018","CAIRNLEA",17
"78","2018","CAMBERWELL",68
"79","2018","CAMPBELLFIELD",4
"80","2018","CANNONS CREEK",2
"81","2018","CANTERBURY",29
"82","2018","CAPE SCHANCK",3
"83","2018","CAPEL SOUND",39
"84","2018","CARLTON",71
"85","2018","CARLTON NORTH",28
"86","2018","CARNEGIE",91
"87","2018","CAROLINE SPRINGS",103
"88","2018","CARRUM",28
"89","2018","CARRUM DOWNS",113
"90","2018","CAULFIELD",24
"91","2018","CAULFIELD EAST",4
"92","2018","CAULFIELD NORTH",63
"93","2018","CAULFIELD SOUTH",47
"94","2018","CHADSTONE",38
"95","2018","CHELSEA",52
"96","2018","CHELSEA HEIGHTS",31
"97","2018","CHELTENHAM",114
"98","2018","CHIRNSIDE PARK",52
"99","2018","CHRISTMAS HILLS",1
"100","2018","CHUM CREEK",4
"101","2018","CLARINDA",18
"102","2018","CLAYTON",47
"103","2018","CLAYTON SOUTH",41
"104","2018","CLEMATIS",2
"105","2018","CLIFTON HILL",28
"106","2018","CLYDE",20
"107","2018","CLYDE NORTH",84
"108","2018","COBBLEBANK",3
"109","2018","COBURG",116
"110","2018","COBURG NORTH",41
"111","2018","COCKATOO",21
"112","2018","COLDSTREAM",8
"113","2018","COLLINGWOOD",51
"114","2018","COOLAROO",7
"115","2018","COTTLES BRIDGE",2
"116","2018","CRAIGIEBURN",249
"117","2018","CRANBOURNE",81
"118","2018","CRANBOURNE EAST",77
"119","2018","CRANBOURNE NORTH",123
"120","2018","CRANBOURNE SOUTH",2
"121","2018","CRANBOURNE WEST",85
"122","2018","CRIB POINT",26
"123","2018","CROYDON",146
"124","2018","CROYDON HILLS",17
"125","2018","CROYDON NORTH",37
"126","2018","CROYDON SOUTH",24
"127","2018","DALLAS",28
"128","2018","DANDENONG",84
"129","2018","DANDENONG NORTH",59
"130","2018","DEEPDENE",5
"131","2018","DEER PARK",70
"132","2018","DELAHEY",30
"133","2018","DERRIMUT",25
"134","2018","DEVON MEADOWS",2
"135","2018","DIAMOND CREEK",52
"136","2018","DIGGERS REST",11
"137","2018","DINGLEY VILLAGE",41
"138","2018","DOCKLANDS",92
"139","2018","DON VALLEY",1
"140","2018","DONCASTER",113
"141","2018","DONCASTER EAST",101
"142","2018","DONNYBROOK",12
"143","2018","DONVALE",57
"144","2018","DOREEN",110
"145","2018","DOVETON",27
"146","2018","DROMANA",35
"147","2018","EAGLEMONT",12
"148","2018","EAST MELBOURNE",19
"149","2018","EAST WARBURTON",13
"150","2018","EDEN PARK",2
"151","2018","EDITHVALE",34
"152","2018","ELSTERNWICK",76
"153","2018","ELTHAM",64
"154","2018","ELTHAM NORTH",21
"155","2018","ELWOOD",111
"156","2018","EMERALD",32
"157","2018","ENDEAVOUR HILLS",66
"158","2018","EPPING",141
"159","2018","ESSENDON",108
"160","2018","ESSENDON NORTH",14
"161","2018","ESSENDON WEST",7
"162","2018","EUMEMMERRING",7
"163","2018","EYNESBURY",14
"164","2018","FAIRFIELD",39
"165","2018","FAWKNER",39
"166","2018","FERNTREE GULLY",114
"167","2018","FERNY CREEK",6
"168","2018","FINGAL",14
"169","2018","FITZROY",44
"170","2018","FITZROY NORTH",50
